Feature,Baseline Accuracy,Permuted Accuracy,Accuracy Difference
AwayTeamHomeGoalsConceded_EMA_1,0.5444839857651246,0.5402135231316726,0.004270462633451988
AwayTeamAwayGoalsConceded_EMA_1,0.5444839857651246,0.5409252669039146,0.003558718861209953
AwayTeamHomeGoalDifference_EMA_1,0.5444839857651246,0.5387900355871886,0.005693950177935947
AwayTeamAwayGoalDifference_EMA_1,0.5444839857651246,0.5437722419928827,0.000711743772241924
HomeTeamOverallForm_MA_3,0.5444839857651246,0.5416370106761567,0.002846975088967918
HomeTeamHomeForm_MA_3,0.5444839857651246,0.5423487544483987,0.002135231316725883
HomeTeamAwayForm_MA_3,0.5444839857651246,0.5430604982206406,0.001423487544483959
HomeTeamGoalsScored_MA_3,0.5444839857651246,0.5437722419928825,0.000711743772242035
HomeTeamGoalsConceded_MA_3,0.5444839857651246,0.5416370106761567,0.002846975088967918
HomeTeamGoalDifference_MA_3,0.5444839857651246,0.5437722419928825,0.000711743772242035
HomeTeamHomeGoalsScored_MA_3,0.5444839857651246,0.5416370106761567,0.002846975088967918
HomeTeamAwayGoalsScored_MA_3,0.5444839857651246,0.5430604982206406,0.001423487544483959
HomeTeamHomeGoalsConceded_MA_3,0.5444839857651246,0.5416370106761567,0.002846975088967918
HomeTeamAwayGoalsConceded_MA_3,0.5444839857651246,0.5409252669039146,0.003558718861209953
HomeTeamHomeGoalDifference_MA_3,0.5444839857651246,0.5416370106761567,0.002846975088967918
HomeTeamAwayGoalDifference_MA_3,0.5444839857651246,0.5409252669039146,0.003558718861209953
HomeTeamOverallForm_EMA_3,0.5444839857651246,0.5366548042704626,0.007829181494661941
HomeTeamHomeForm_EMA_3,0.5444839857651246,0.5395017793594306,0.004982206405694023
HomeTeamAwayForm_EMA_3,0.5444839857651246,0.5444839857651246,0.0
HomeTeamGoalsScored_EMA_3,0.5444839857651246,0.5451957295373666,-0.000711743772242035
HomeTeamGoalsConceded_EMA_3,0.5444839857651246,0.5402135231316726,0.004270462633451988
HomeTeamGoalDifference_EMA_3,0.5444839857651246,0.5487544483985765,-0.004270462633451877
HomeTeamHomeGoalsScored_EMA_3,0.5444839857651246,0.5466192170818506,-0.002135231316725994
HomeTeamAwayGoalsScored_EMA_3,0.5444839857651246,0.5459074733096085,-0.001423487544483959
HomeTeamHomeGoalsConceded_EMA_3,0.5444839857651246,0.5402135231316726,0.004270462633451988
HomeTeamAwayGoalsConceded_EMA_3,0.5444839857651246,0.5451957295373666,-0.000711743772242035
HomeTeamHomeGoalDifference_EMA_3,0.5444839857651246,0.5416370106761567,0.002846975088967918
HomeTeamAwayGoalDifference_EMA_3,0.5444839857651246,0.5437722419928827,0.000711743772241924
AwayTeamOverallForm_MA_3,0.5444839857651246,0.5395017793594306,0.004982206405694023
AwayTeamHomeForm_MA_3,0.5444839857651246,0.5430604982206406,0.001423487544483959
AwayTeamAwayForm_MA_3,0.5444839857651246,0.5459074733096085,-0.001423487544483959
AwayTeamGoalsScored_MA_3,0.5444839857651246,0.5416370106761567,0.002846975088967918
AwayTeamGoalsConceded_MA_3,0.5444839857651246,0.5409252669039146,0.003558718861209953
AwayTeamGoalDifference_MA_3,0.5444839857651246,0.5423487544483987,0.002135231316725883
AwayTeamHomeGoalsScored_MA_3,0.5444839857651246,0.5423487544483987,0.002135231316725883
AwayTeamAwayGoalsScored_MA_3,0.5444839857651246,0.5451957295373665,-0.000711743772241924
AwayTeamHomeGoalsConceded_MA_3,0.5444839857651246,0.5387900355871886,0.005693950177935947
AwayTeamAwayGoalsConceded_MA_3,0.5444839857651246,0.5451957295373666,-0.000711743772242035
AwayTeamHomeGoalDifference_MA_3,0.5444839857651246,0.5402135231316726,0.004270462633451988
AwayTeamAwayGoalDifference_MA_3,0.5444839857651246,0.5437722419928827,0.000711743772241924
AwayTeamOverallForm_EMA_3,0.5444839857651246,0.5395017793594306,0.004982206405694023
AwayTeamHomeForm_EMA_3,0.5444839857651246,0.5416370106761567,0.002846975088967918
AwayTeamAwayForm_EMA_3,0.5444839857651246,0.5437722419928825,0.000711743772242035
AwayTeamGoalsScored_EMA_3,0.5444839857651246,0.5423487544483987,0.002135231316725883
AwayTeamGoalsConceded_EMA_3,0.5444839857651246,0.5387900355871886,0.005693950177935947
AwayTeamGoalDifference_EMA_3,0.5444839857651246,0.5402135231316726,0.004270462633451988
AwayTeamHomeGoalsScored_EMA_3,0.5444839857651246,0.5430604982206406,0.001423487544483959
AwayTeamAwayGoalsScored_EMA_3,0.5444839857651246,0.5395017793594306,0.004982206405694023
AwayTeamHomeGoalsConceded_EMA_3,0.5444839857651246,0.5345195729537366,0.009964412811387935
AwayTeamAwayGoalsConceded_EMA_3,0.5444839857651246,0.5409252669039146,0.003558718861209953
AwayTeamHomeGoalDifference_EMA_3,0.5444839857651246,0.5437722419928825,0.000711743772242035
AwayTeamAwayGoalDifference_EMA_3,0.5444839857651246,0.5409252669039146,0.003558718861209953
HomeTeamOverallForm_MA_5,0.5444839857651246,0.5387900355871886,0.005693950177935947
